charge240,city08U,cityE,co2A,comb08U,combE,cylinders,displ,drive,engId,feScore,fuelCost08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayE,hlv,hpv,id,lv2,lv4,make,model,mpgData,range,rangeCity,rangeHwy,trany,UCity,UHighway,VClass,year,youSaveSpend,charge240b,createdOn,modifiedOn
6.0,93.4,36.0,-1,94.3,36.0,,,Rear-Wheel Drive,3,10,700,Electricity,Electricity,10,-1,96,95.5,35.0,26,94,33612,0,0,Tesla,Model S (40 kW-hr battery pack),N,139,138.5,140.7,Automatic,117.3,120.0,Large Cars,2013,3250,2.5,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
7.0,128.2,26.0,-1,118.9,28.0,,,Front-Wheel Drive,110,10,550,Electricity,Electricity,10,-1,109,109.2,31.0,0,0,33640,0,11,Chevrolet,Spark EV,N,82,87.8,74.8,Automatic,183.2,156.0,Subcompact Cars,2014,4000,0.0,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014
4.0,137.48,25.0,-1,124.3601,27.0,,,Rear-Wheel Drive,100,10,550,Electricity,Electricity,10,-1,111,111.37,30.0,0,0,35207,0,15,BMW,i3 BEV,N,81,89.0,71.6,Automatic,196.4,159.1,Subcompact Cars,2014,4000,0.0,Fri Jun 27 00:00:00 EDT 2014,Tue Feb 02 00:00:00 EST 2016
3.5,84.56,40.0,-1,83.7634,40.0,,,Front-Wheel Drive,504,10,800,Electricity,Electricity,10,-1,83,82.81,41.0,0,0,35247,0,22,Mercedes-Benz,B-Class Electric Drive,N,87,88.5,86.2,Automatic,120.8,118.3,Midsize Cars,2014,2750,0.0,Mon Jul 07 00:00:00 EDT 2014,Thu Aug 14 00:00:00 EDT 2014
4.0,119.6,28.1744,-1,105.3754,31.9856,,,Front-Wheel Drive,34,10,600,Electricity,Electricity,10,-1,92,92.0,36.6438,0,0,35601,0,19,Kia,Soul Electric,N,93,148.0,113.8,Automatic,170.9,131.4,Small Station Wagons,2015,3750,0.0,Wed Aug 27 00:00:00 EDT 2014,Tue Jan 06 00:00:00 EST 2015
4.0,125.6,26.8395,-1,115.5536,29.1683,,,Front-Wheel Drive,109,10,550,Electricity,Electricity,10,-1,105,105.3,32.0146,17,91,35849,0,0,Volkswagen,e-Golf,N,83,88.9,75.2,Automatic,179.4,150.4,Compact Cars,2015,4000,0.0,Thu Oct 16 00:00:00 EDT 2014,Fri Oct 17 00:00:00 EDT 2014
12.0,86.0,39.0,-1,89.3,38.0,,,4-Wheel Drive,4,10,750,Electricity,Electricity,10,-1,94,93.7,36.0,26,94,35994,0,0,Tesla,Model S AWD (85 kW-hr battery pack),N,242,233.5,253.2,Automatic,117.8,128.4,Large Cars,2014,3000,4.75,Mon Jan 12 00:00:00 EST 2015,Thu Jan 22 00:00:00 EST 2015
12.0,89.3714,38.0,-1,92.9112,36.0,,,All-Wheel Drive,4,10,700,Electricity,Electricity,10,-1,98,97.6374,35.0,26,94,36008,0,0,Tesla,Model S AWD - P85D,N,253,242.3,265.5,Automatic,121.1,132.3,Large Cars,2015,3250,4.75,Thu Jan 22 00:00:00 EST 2015,Wed Aug 12 00:00:00 EDT 2015
12.0,95.3056,35.0,-1,99.8433,34.0,,,All-Wheel Drive,5,10,650,Electricity,Electricity,10,-1,106,106.0124,32.0,26,94,36009,0,0,Tesla,Model S AWD - 85D,N,270,257.1,285.3,Automatic,126.4,140.6,Large Cars,2015,3500,4.75,Thu Jan 22 00:00:00 EST 2015,Wed Aug 12 00:00:00 EDT 2015
12.0,100.8098,33.0,-1,101.2486,33.0,,,All-Wheel Drive,6,10,650,Electricity,Electricity,10,-1,102,101.79,33.0,26,94,36126,0,0,Tesla,Model S AWD - 70D,N,240,242.8,246.4,Automatic,133.7,135.0,Large Cars,2015,3500,4.75,Mon Apr 06 00:00:00 EDT 2015,Wed Aug 12 00:00:00 EDT 2015
12.0,95.3056,35.0,-1,99.8433,34.0,,,All-Wheel Drive,7,10,650,Electricity,Electricity,10,-1,106,106.0124,32.0,26,94,36786,0,0,Tesla,Model S AWD - 90D,N,270,257.1,285.3,Automatic,126.4,140.6,Large Cars,2015,3500,4.75,Thu Aug 06 00:00:00 EDT 2015,Wed Aug 12 00:00:00 EDT 2015
12.0,89.3714,38.0,-1,92.9112,36.0,,,All-Wheel Drive,8,10,700,Electricity,Electricity,10,-1,98,97.6374,35.0,26,94,36787,0,0,Tesla,Model S AWD - P90D,N,253,242.3,265.5,Automatic,121.1,132.3,Large Cars,2015,3250,4.75,Thu Aug 06 00:00:00 EDT 2015,Wed Aug 12 00:00:00 EDT 2015
12.0,90.2795,37.0,-1,92.084,37.0,,,All-Wheel Drive,9,10,700,Electricity,Electricity,10,-1,94,94.3898,36.0,26,94,36979,0,0,Tesla,Model X AWD - 90D,N,257,252.4,262.7,Automatic,123.0,132.6,Standard Sport Utility Vehicle 4WD,2016,3250,4.75,Fri Sep 25 00:00:00 EDT 2015,Tue Jan 05 00:00:00 EST 2016
