fuelType,model,make,createdOn
Regular,Astro 2WD (passenger),Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Sport Van G10/20 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Sport Van G30 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Aerostar Wagon,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Aerostar Wagon AWD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Caravan/Ram Van 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Rally G15/25 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Rally G35 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Premium,Safari AWD (passenger),GMC,Tue Jan 01 00:00:00 EST 2013
Premium,Safari 2WD (passenger),GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Previa,Toyota,Tue Jan 01 00:00:00 EST 2013
Regular,Previa All-Trac,Toyota,Tue Jan 01 00:00:00 EST 2013
Regular,Eurovan,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Regular,Lumina/APV Minivan 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Suburban 1500 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,S10 Blazer 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Pathfinder 2WD,Nissan,Tue Jan 01 00:00:00 EST 2013
Regular,Quest,Nissan,Tue Jan 01 00:00:00 EST 2013
Regular,Town and Country 2WD,Chrysler,Tue Jan 01 00:00:00 EST 2013
Regular,Caravan C/V/Grand Caravan 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Caravan/Grand Caravan 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Ramcharger 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Cherokee 2WD,Jeep,Tue Jan 01 00:00:00 EST 2013
Regular,Explorer 2WD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Villager FWD Van,Mercury,Tue Jan 01 00:00:00 EST 2013
Regular,Villager FWD Wagon,Mercury,Tue Jan 01 00:00:00 EST 2013
Regular,Tracker Convertible 2WD,Geo,Tue Jan 01 00:00:00 EST 2013
Regular,Suburban 1500 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Premium,Jimmy 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Jimmy 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Amigo 2WD,Isuzu,Tue Jan 01 00:00:00 EST 2013
Regular,Rodeo 2WD,Isuzu,Tue Jan 01 00:00:00 EST 2013
Regular,MPV,Mazda,Tue Jan 01 00:00:00 EST 2013
Regular,Trans Sport 2WD,Pontiac,Tue Jan 01 00:00:00 EST 2013
Regular,Voyager/Grand Voyager 2WD,Plymouth,Tue Jan 01 00:00:00 EST 2013
