fuelType,model,make,createdOn
Premium,Arnage LWB,Bentley,Tue Jan 01 00:00:00 EST 2013
Regular,Funeral Coach / Hearse,Cadillac,Tue Jan 01 00:00:00 EST 2013
Regular,Concorde/LHS,Chrysler,Tue Jan 01 00:00:00 EST 2013
Premium,Marauder,Mercury,Tue Jan 01 00:00:00 EST 2013
Premium,S430 4matic,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,S500 4matic,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,C240 (Wagon),Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,C240 4matic (Wagon),Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,C320 4matic (Wagon),Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Regular,Vibe,Pontiac,Tue Jan 01 00:00:00 EST 2013
Regular,Vibe AWD,Pontiac,Tue Jan 01 00:00:00 EST 2013
Premium,Vibe,Pontiac,Tue Jan 01 00:00:00 EST 2013
Premium,Impreza Wagon/Outback SPT AWD,Subaru,Tue Jan 01 00:00:00 EST 2013
Regular,Impreza Wagon/Outback SPT AWD,Subaru,Tue Jan 01 00:00:00 EST 2013
Regular,Aerio SX 4WD,Suzuki,Tue Jan 01 00:00:00 EST 2013
Regular,Matrix,Toyota,Tue Jan 01 00:00:00 EST 2013
Regular,Matrix AWD,Toyota,Tue Jan 01 00:00:00 EST 2013
Premium,Matrix,Toyota,Tue Jan 01 00:00:00 EST 2013
Premium,Colt,Plymouth,Tue Jan 01 00:00:00 EST 2013
Regular,Legacy/Outback Wagon AWD,Subaru,Tue Jan 01 00:00:00 EST 2013
Premium,Legacy/Outback Wagon AWD,Subaru,Tue Jan 01 00:00:00 EST 2013
Premium,Conquest,Plymouth,Tue Jan 01 00:00:00 EST 2013
Regular,SSR Pickup 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Silverado SS 1500 AWD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Astro 2WD (cargo) Conversion,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Astro AWD (cargo) Conversion,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Van 15/25 2WD Conversion,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Van 1500 AWD Conversion,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Van 1500/2500 AWD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Savana 15/25 2WD Conversion (cargo),GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Savana 15/25 AWD Conversion (cargo),GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Savana 1500/2500 AWD (cargo),GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Safari 2WD Conversion (cargo),GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Safari AWD Conversion (cargo),GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Express 1500 AWD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Sunbird Convertible,Pontiac,Tue Jan 01 00:00:00 EST 2013
Regular,Savana 1500 AWD (Passenger),GMC,Tue Jan 01 00:00:00 EST 2013
Premium,Eurovan Camper,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Premium,Eurovan,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Regular,Sunburst,Pontiac,Tue Jan 01 00:00:00 EST 2013
Premium,PT Cruiser,Chrysler,Tue Jan 01 00:00:00 EST 2013
Regular,Element 2WD,Honda,Tue Jan 01 00:00:00 EST 2013
Regular,FX35 2WD,Infiniti,Tue Jan 01 00:00:00 EST 2013
Regular,Ascender 2WD,Isuzu,Tue Jan 01 00:00:00 EST 2013
Regular,Alliance Convertible,Renault,Tue Jan 01 00:00:00 EST 2013
Regular,Liberty/Cherokee 2WD,Jeep,Tue Jan 01 00:00:00 EST 2013
Regular,Sorento 2WD,Kia,Tue Jan 01 00:00:00 EST 2013
Regular,Aviator 2WD,Lincoln,Tue Jan 01 00:00:00 EST 2013
Regular,Nativa 2WD(Puerto Rico Only),Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Regular,Outlander 2WD,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Regular,Murano 2WD,Nissan,Tue Jan 01 00:00:00 EST 2013
Regular,Fuego,Renault,Tue Jan 01 00:00:00 EST 2013
Regular,Vitara 2 Door,Suzuki,Tue Jan 01 00:00:00 EST 2013
Regular,Vitara 4 Door,Suzuki,Tue Jan 01 00:00:00 EST 2013
Regular,Corniche II/Continental,Rolls-Royce,Tue Jan 01 00:00:00 EST 2013
Premium,XC 90 FWD,Volvo,Tue Jan 01 00:00:00 EST 2013
Premium,MDX 4WD,Acura,Tue Jan 01 00:00:00 EST 2013
Premium,Allroad quattro,Audi,Tue Jan 01 00:00:00 EST 2013
Regular,Escalade ESV AWD,Cadillac,Tue Jan 01 00:00:00 EST 2013
Regular,Avalanche 1500 AWD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Suburban 1500 AWD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Tahoe 1500 AWD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,XT,Subaru,Tue Jan 01 00:00:00 EST 2013
Regular,Yukon 1500 AWD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Yukon XL 1500 AWD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Element 4WD,Honda,Tue Jan 01 00:00:00 EST 2013
Regular,Pilot 4WD,Honda,Tue Jan 01 00:00:00 EST 2013
Regular,FX35 AWD,Infiniti,Tue Jan 01 00:00:00 EST 2013
Premium,FX45 AWD,Infiniti,Tue Jan 01 00:00:00 EST 2013
Regular,Ascender 4WD,Isuzu,Tue Jan 01 00:00:00 EST 2013
Regular,Liberty/Cherokee 4WD,Jeep,Tue Jan 01 00:00:00 EST 2013
Regular,Wrangler/TJ 4WD,Jeep,Tue Jan 01 00:00:00 EST 2013
Regular,Sorento 4WD,Kia,Tue Jan 01 00:00:00 EST 2013
Regular,Freelander 3 Door,Land Rover,Tue Jan 01 00:00:00 EST 2013
Regular,Freelander 5 Door,Land Rover,Tue Jan 01 00:00:00 EST 2013
Regular,GX 470,Lexus,Tue Jan 01 00:00:00 EST 2013
Regular,Aviator 4WD,Lincoln,Tue Jan 01 00:00:00 EST 2013
Premium,G55 AMG,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,ML350,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Regular,Outlander 4WD,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Regular,Murano AWD,Nissan,Tue Jan 01 00:00:00 EST 2013
Regular,Baja AWD,Subaru,Tue Jan 01 00:00:00 EST 2013
Regular,Vitara 2 Door 4WD,Suzuki,Tue Jan 01 00:00:00 EST 2013
Regular,Vitara 4 Door 4WD,Suzuki,Tue Jan 01 00:00:00 EST 2013
Premium,Celica Supra,Toyota,Tue Jan 01 00:00:00 EST 2013
Premium,XC 70 AWD,Volvo,Tue Jan 01 00:00:00 EST 2013
Premium,XC 90 AWD,Volvo,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,B3000 2WD FFV,Mazda,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Silverado 1500 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Sierra 1500 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Avalanche 1500 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Sebring Convertible,Chrysler,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Sebring 4 Door,Chrysler,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Stratus 4 Door,Dodge,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Yukon 1500 AWD,GMC,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Yukon XL 1500 AWD,GMC,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Silverado 1500 4WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Sierra 1500 4WD,GMC,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Avalanche 1500 4WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Avalanche 1500 AWD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Suburban 1500 AWD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Gasoline or natural gas,Silverado 2500 2WD (Bifuel),Chevrolet,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Tahoe 1500 AWD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,Cooper S,MINI,Tue Jan 01 00:00:00 EST 2013
Premium,760li,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,New Beetle Convertible,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Premium,9-3 Sport Sedan,Saab,Tue Jan 01 00:00:00 EST 2013
Premium,Cayenne S,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Cayenne Turbo,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,DB AR1,Aston Martin,Tue Jan 01 00:00:00 EST 2013
Premium,RS6,Audi,Tue Jan 01 00:00:00 EST 2013
Regular,Scirocco,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Premium,XLR,Cadillac,Tue Jan 01 00:00:00 EST 2013
Premium,Crossfire,Chrysler,Tue Jan 01 00:00:00 EST 2013
Premium,360 Modena/Spider/Challenge,Ferrari,Tue Jan 01 00:00:00 EST 2013
Premium,L-140/141 Gallardo,Lamborghini,Tue Jan 01 00:00:00 EST 2013
Regular,Scirocco 16v,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Premium,L-147/148 Murcielago,Lamborghini,Tue Jan 01 00:00:00 EST 2013
Premium,Bitter SC,Bitter Gmbh and Co. Kg,Tue Jan 01 00:00:00 EST 2013
Premium,SLK230,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Diesel,5 Series,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,350z Roadster,Nissan,Tue Jan 01 00:00:00 EST 2013
Premium,Carrera 2 911 GT3,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Carrera GT,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Turbo 2 911 Gt2,Porsche,Tue Jan 01 00:00:00 EST 2013
Regular,5 Series,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,V12 Vanquish,Aston Martin,Tue Jan 01 00:00:00 EST 2013
Premium,SC 430,Lexus,Tue Jan 01 00:00:00 EST 2013
Premium,Carrera 4 S Cabriolet,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Carrera 4 S Cabriolet Kit,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Carrera 4 S Coupe,Porsche,Tue Jan 01 00:00:00 EST 2013
Regular,7 Series,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,Turbo 4 911,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Turbo 4 911 Cab,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Turbo 4 911 Cab Kit,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Turbo 4 911 Kit,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,A4 Cabriolet quattro,Audi,Tue Jan 01 00:00:00 EST 2013
Premium,S4 Cabriolet,Audi,Tue Jan 01 00:00:00 EST 2013
Premium,645ci,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,645ci Convertible,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,RX-8,Mazda,Tue Jan 01 00:00:00 EST 2013
Premium,CLK500 (Cabriolet),Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Regular,Somerset/Skylark,Buick,Tue Jan 01 00:00:00 EST 2013
Regular,xA,Scion,Tue Jan 01 00:00:00 EST 2013
Premium,R32,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Premium,TSX,Acura,Tue Jan 01 00:00:00 EST 2013
Premium,Continental GT,Bentley,Tue Jan 01 00:00:00 EST 2013
Regular,Aveo,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Optra,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,Sebring,Chrysler,Tue Jan 01 00:00:00 EST 2013
Regular,Kalos,Daewoo,Tue Jan 01 00:00:00 EST 2013
Regular,Lacetti,Daewoo,Tue Jan 01 00:00:00 EST 2013
Premium,Stratus,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Spectra 1.8L,Kia,Tue Jan 01 00:00:00 EST 2013
Regular,3,Mazda,Tue Jan 01 00:00:00 EST 2013
Premium,C320 4matic Sedan,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,C230 Kompressor Sports Coupe,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Regular,Nova,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,GTO,Pontiac,Tue Jan 01 00:00:00 EST 2013
Premium,Ion,Saturn,Tue Jan 01 00:00:00 EST 2013
Regular,Aerio AWD,Suzuki,Tue Jan 01 00:00:00 EST 2013
Regular,Forenza,Suzuki,Tue Jan 01 00:00:00 EST 2013
Premium,S60 R AWD,Volvo,Tue Jan 01 00:00:00 EST 2013
Premium,TL,Acura,Tue Jan 01 00:00:00 EST 2013
Premium,545i,BMW,Tue Jan 01 00:00:00 EST 2013
Regular,CTS,Cadillac,Tue Jan 01 00:00:00 EST 2013
Premium,CTS-V,Cadillac,Tue Jan 01 00:00:00 EST 2013
Regular,Epica,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Classic,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,Monte Carlo,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Magnus,Daewoo,Tue Jan 01 00:00:00 EST 2013
Regular,Elantra Hatchback,Hyundai,Tue Jan 01 00:00:00 EST 2013
Regular,Spectra 2.0L,Kia,Tue Jan 01 00:00:00 EST 2013
Regular,ES 330,Lexus,Tue Jan 01 00:00:00 EST 2013
Premium,E320 4matic,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,E500 4matic,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Diesel,Escort,Ford,Tue Jan 01 00:00:00 EST 2013
Premium,Phantom,Rolls-Royce,Tue Jan 01 00:00:00 EST 2013
Regular,Verona,Suzuki,Tue Jan 01 00:00:00 EST 2013
Diesel,Escort FS,Ford,Tue Jan 01 00:00:00 EST 2013
Premium,S80 AWD,Volvo,Tue Jan 01 00:00:00 EST 2013
Premium,S80/S80 Premier,Volvo,Tue Jan 01 00:00:00 EST 2013
Diesel,Tempo,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Armored Deville,Cadillac,Tue Jan 01 00:00:00 EST 2013
Premium,Impala,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Malibu Maxx,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,Vdp 4.2 Litre,Jaguar,Tue Jan 01 00:00:00 EST 2013
Premium,XJ8 4.2 Litre,Jaguar,Tue Jan 01 00:00:00 EST 2013
Premium,XJR 4.2 Litre,Jaguar,Tue Jan 01 00:00:00 EST 2013
Regular,Amanti,Kia,Tue Jan 01 00:00:00 EST 2013
Premium,57,Maybach,Tue Jan 01 00:00:00 EST 2013
Premium,62,Maybach,Tue Jan 01 00:00:00 EST 2013
Premium,Phaeton,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Regular,Lancer Sportback,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Regular,Aerio SX AWD,Suzuki,Tue Jan 01 00:00:00 EST 2013
Regular,xB,Scion,Tue Jan 01 00:00:00 EST 2013
Regular,Legend,Acura,Tue Jan 01 00:00:00 EST 2013
Regular,6 Sport Wagon,Mazda,Tue Jan 01 00:00:00 EST 2013
Premium,E320 4matic (Wagon),Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,E500 (Wagon),Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,E500 4matic (Wagon),Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Regular,300E,Lambda Control Systems,Tue Jan 01 00:00:00 EST 2013
Premium,V70 R AWD,Volvo,Tue Jan 01 00:00:00 EST 2013
Regular,Silverado 15 Hybrid 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Colorado 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Colorado Crew Cab 2WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,Ram 1500 Pickup 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Regular,Sierra 15 Hybrid 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Canyon 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Esprit Turbo,Lotus,Tue Jan 01 00:00:00 EST 2013
Regular,Canyon Crew Cab 2WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Titan 2WD,Nissan,Tue Jan 01 00:00:00 EST 2013
Regular,Colorado 4WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Colorado Crew Cab 4WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Silverado 15 Hybrid 4WD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Silverado 1500 AWD,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Diesel,Topaz,Mercury,Tue Jan 01 00:00:00 EST 2013
Regular,Canyon 4WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Canyon Crew Cab 4WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Sierra 15 Hybrid 4WD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Sierra 1500 AWD,GMC,Tue Jan 01 00:00:00 EST 2013
Regular,Titan 4WD,Nissan,Tue Jan 01 00:00:00 EST 2013
Regular,XR4Ti,Merkur,Tue Jan 01 00:00:00 EST 2013
Regular,Freestar Cargo Van FWD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Freestar Wagon FWD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Monterey Wagon FWD,Mercury,Tue Jan 01 00:00:00 EST 2013
Regular,Sienna 4WD,Toyota,Tue Jan 01 00:00:00 EST 2013
Regular,Rainier 2WD,Buick,Tue Jan 01 00:00:00 EST 2013
Premium,SRX 2WD,Cadillac,Tue Jan 01 00:00:00 EST 2013
Regular,Pacifica 2WD,Chrysler,Tue Jan 01 00:00:00 EST 2013
Premium,300E,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,560SEC,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Regular,FX35 RWD,Infiniti,Tue Jan 01 00:00:00 EST 2013
Regular,QX56 2WD,Infiniti,Tue Jan 01 00:00:00 EST 2013
Regular,Ascender 5-passenger 2WD,Isuzu,Tue Jan 01 00:00:00 EST 2013
Regular,RX 330 2WD,Lexus,Tue Jan 01 00:00:00 EST 2013
Premium,Aviator 2WD,Lincoln,Tue Jan 01 00:00:00 EST 2013
Premium,Endeavor,Mitsubishi,Tue Jan 01 00:00:00 EST 2013
Regular,Pathfinder Armada 2WD,Nissan,Tue Jan 01 00:00:00 EST 2013
Premium,X3,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,Firenza,Oldsmobile,Tue Jan 01 00:00:00 EST 2013
Regular,Rainier AWD,Buick,Tue Jan 01 00:00:00 EST 2013
Premium,SRX AWD,Cadillac,Tue Jan 01 00:00:00 EST 2013
Regular,Pacifica AWD,Chrysler,Tue Jan 01 00:00:00 EST 2013
Regular,QX56 4WD,Infiniti,Tue Jan 01 00:00:00 EST 2013
Regular,Ascender 5-passenger 4WD,Isuzu,Tue Jan 01 00:00:00 EST 2013
Regular,505 Sedan,Peugeot,Tue Jan 01 00:00:00 EST 2013
Regular,Freelander,Land Rover,Tue Jan 01 00:00:00 EST 2013
Regular,RX 330 4WD,Lexus,Tue Jan 01 00:00:00 EST 2013
Premium,Aviator 4WD,Lincoln,Tue Jan 01 00:00:00 EST 2013
Premium,505 Sedan,Peugeot,Tue Jan 01 00:00:00 EST 2013
Regular,Pathfinder Armada 4WD,Nissan,Tue Jan 01 00:00:00 EST 2013
Premium,Cayenne,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Baja AWD,Subaru,Tue Jan 01 00:00:00 EST 2013
Premium,Forester AWD,Subaru,Tue Jan 01 00:00:00 EST 2013
Diesel,505 Sedan,Peugeot,Tue Jan 01 00:00:00 EST 2013
Premium,Touareg,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Diesel,Touareg,Volkswagen,Tue Jan 01 00:00:00 EST 2013
CNG,Silverado 2500 HD 2WD CNG,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Explorer Sport Trac 2WD FFV,Ford,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Explorer Sport Trac 4WD FFV,Ford,Tue Jan 01 00:00:00 EST 2013
Premium or E85,C240 FFV,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium or E85,C320 FFV,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium or E85,C320 Sports Coupe FFV,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium or E85,C240 FFV (Wagon),Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium or E85,C320 FFV (Wagon),Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Gasoline or natural gas,Express Cargo (Bi-fuel),Chevrolet,Tue Jan 01 00:00:00 EST 2013
Gasoline or natural gas,Express Passenger (Bi-fuel),Chevrolet,Tue Jan 01 00:00:00 EST 2013
Gasoline or natural gas,Savana (cargo) (Bi-fuel),GMC,Tue Jan 01 00:00:00 EST 2013
Gasoline or natural gas,Savana Passenger (Bi-fuel),GMC,Tue Jan 01 00:00:00 EST 2013
CNG,Express Cargo (dedicated CNG),Chevrolet,Tue Jan 01 00:00:00 EST 2013
CNG,Express Passenger (dedicated CNG),Chevrolet,Tue Jan 01 00:00:00 EST 2013
CNG,Savana Cargo (dedicated CNG),GMC,Tue Jan 01 00:00:00 EST 2013
CNG,Savana Passenger (dedicated CNG),GMC,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Ram 1500 Pickup 2WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Gasoline or E85,Ram 1500 Pickup 4WD,Dodge,Tue Jan 01 00:00:00 EST 2013
Premium,760i,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,X5 4.8IS,BMW,Tue Jan 01 00:00:00 EST 2013
Premium,Crossfire Coupe,Chrysler,Tue Jan 01 00:00:00 EST 2013
Premium,Crossfire Roadster,Chrysler,Tue Jan 01 00:00:00 EST 2013
Premium,575 M Maranello and Superamerica,Ferrari,Tue Jan 01 00:00:00 EST 2013
Premium,GT,Ford,Tue Jan 01 00:00:00 EST 2013
Premium,Elise/exige,Lotus,Tue Jan 01 00:00:00 EST 2013
Premium,Spyder Cambiocorsa/GT/90 ANV,Maserati,Tue Jan 01 00:00:00 EST 2013
Premium,SLR,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,SL65 AMG,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,SLK350,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,SLK55 AMG,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Regular,Alliance/Encore,Renault,Tue Jan 01 00:00:00 EST 2013
Premium,Turbo 2 911 GT2,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,DB9,Aston Martin,Tue Jan 01 00:00:00 EST 2013
Premium,DB9 Volante,Aston Martin,Tue Jan 01 00:00:00 EST 2013
Premium,V12 Vanquish S,Aston Martin,Tue Jan 01 00:00:00 EST 2013
Premium,Cooper Convertible,MINI,Tue Jan 01 00:00:00 EST 2013
Premium,Cooper S Convertible,MINI,Tue Jan 01 00:00:00 EST 2013
Premium,Carrera 2 S Cabriolet,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Carrera 2 S Coupe,Porsche,Tue Jan 01 00:00:00 EST 2013
Regular,Camargue,Rolls-Royce,Tue Jan 01 00:00:00 EST 2013
Premium,Turbo 4 911 Turbo,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Turbo 4 911 Turbo Cab S,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Turbo 4 911 S,Porsche,Tue Jan 01 00:00:00 EST 2013
Premium,Cobalt,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Cobalt,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,Coupe and Gransport,Maserati,Tue Jan 01 00:00:00 EST 2013
Regular,Sedan/3 Door,Subaru,Tue Jan 01 00:00:00 EST 2013
Regular,tC,Scion,Tue Jan 01 00:00:00 EST 2013
Regular,3 Door 4WD Turbo,Subaru,Tue Jan 01 00:00:00 EST 2013
Regular,500 SEC,Texas Coach Company,Tue Jan 01 00:00:00 EST 2013
Diesel,Camry,Toyota,Tue Jan 01 00:00:00 EST 2013
Regular,Aveo 5,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Regular,Optra 5,Chevrolet,Tue Jan 01 00:00:00 EST 2013
Premium,Cressida,Toyota,Tue Jan 01 00:00:00 EST 2013
Premium,C55 AMG,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Premium,CL65 AMG,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Regular,G6,Pontiac,Tue Jan 01 00:00:00 EST 2013
Regular,Wave,Pontiac,Tue Jan 01 00:00:00 EST 2013
Regular,Wave 5,Pontiac,Tue Jan 01 00:00:00 EST 2013
Premium,Legacy AWD,Subaru,Tue Jan 01 00:00:00 EST 2013
Regular,Reno,Suzuki,Tue Jan 01 00:00:00 EST 2013
Regular,Swift x,Suzuki,Tue Jan 01 00:00:00 EST 2013
Premium,Corolla,Toyota,Tue Jan 01 00:00:00 EST 2013
Premium,S40 AWD,Volvo,Tue Jan 01 00:00:00 EST 2013
Premium,RL,Acura,Tue Jan 01 00:00:00 EST 2013
Regular,Jetta GLI,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Regular,Lacrosse/Allure,Buick,Tue Jan 01 00:00:00 EST 2013
Regular,STS 2WD,Cadillac,Tue Jan 01 00:00:00 EST 2013
Premium,STS 2WD,Cadillac,Tue Jan 01 00:00:00 EST 2013
Premium,STS AWD,Cadillac,Tue Jan 01 00:00:00 EST 2013
Regular,Quantum,Volkswagen,Tue Jan 01 00:00:00 EST 2013
Premium,612 Scaglietti,Ferrari,Tue Jan 01 00:00:00 EST 2013
Regular,240 DL/240 GL,Volvo,Tue Jan 01 00:00:00 EST 2013
Premium,X-Type Sport Brake,Jaguar,Tue Jan 01 00:00:00 EST 2013
Regular,GLH-S,Dodge,Tue Jan 01 00:00:00 EST 2013
Diesel,E320 Cdi,Mercedes-Benz,Tue Jan 01 00:00:00 EST 2013
Regular,5000 CS quattro,Audi,Tue Jan 01 00:00:00 EST 2013
Regular,5000 S,Audi,Tue Jan 01 00:00:00 EST 2013
Premium,S80 FWD,Volvo,Tue Jan 01 00:00:00 EST 2013
Regular,300C AWD,Chrysler,Tue Jan 01 00:00:00 EST 2013
Regular,300C/SRT-8,Chrysler,Tue Jan 01 00:00:00 EST 2013
Regular,Five Hundred AWD,Ford,Tue Jan 01 00:00:00 EST 2013
Regular,Five Hundred FWD,Ford,Tue Jan 01 00:00:00 EST 2013
Premium,Vdp Lwb,Jaguar,Tue Jan 01 00:00:00 EST 2013
Premium,XJ8l,Jaguar,Tue Jan 01 00:00:00 EST 2013
