make,model,year,trany,VClass,barrels08
Nissan,Sentra,2005-01-01,manual,Compact Cars,12.207778
Nissan,Sentra,2005-01-01,automatic,Compact Cars,12.207778
Pontiac,Vibe,2007-01-01,automatic,Small Station Wagons,12.207778
Nissan,Sentra,2009-01-01,manual,Midsize Cars,12.207778
Nissan,Sentra,2007-01-01,manual,Midsize Cars,12.207778
Chevrolet,Aveo 5,2005-01-01,manual,Compact Cars,12.207778
Suzuki,Esteem,2001-01-01,manual,Subcompact Cars,12.207778
Chevrolet,Aveo,2005-01-01,manual,Compact Cars,12.207778
Plymouth,Breeze,2000-01-01,manual,Midsize Cars,12.207778
Hyundai,Accent/Brio,2001-01-01,manual,Compact Cars,12.207778
Hyundai,Accent/Brio,2003-01-01,manual,Compact Cars,12.207778
Toyota,Matrix,2004-01-01,automatic,Small Station Wagons,12.207778
Pontiac,Vibe,2004-01-01,automatic,Small Station Wagons,12.207778
Nissan,Sentra,2003-01-01,automatic,Compact Cars,12.207778
Hyundai,Elantra,2007-01-01,manual,Midsize Cars,12.207778
Chevrolet,Cobalt Sedan,2010-01-01,automatic,Compact Cars,12.207778
Chevrolet,Prizm,2001-01-01,automatic,Compact Cars,12.207778
Plymouth,Breeze,1998-01-01,manual,Midsize Cars,12.207778
Saturn,Astra 2DR Hatchback,2008-01-01,automatic,Compact Cars,12.207778
Nissan,Sentra,2010-01-01,manual,Midsize Cars,12.207778
Saturn,SL,1999-01-01,manual,Compact Cars,12.207778
Saturn,SL,2002-01-01,manual,Compact Cars,12.207778
Saturn,SL,2002-01-01,automatic,Compact Cars,12.207778
Nissan,Sentra,2002-01-01,manual,Compact Cars,12.207778
Saturn,SL,1997-01-01,automatic,Compact Cars,12.207778
MINI,Cooper S,2008-01-01,automatic,Minicompact Cars,12.207778
Saturn,SL,1997-01-01,manual,Compact Cars,12.207778
Mercury,Lynx Wagon,1985-01-01,manual,Small Station Wagons,12.207778
Chevrolet,Aveo,2008-01-01,manual,Compact Cars,12.207778
Mazda,Protege,1999-01-01,manual,Compact Cars,12.207778
Dodge,Stratus,1997-01-01,manual,Midsize Cars,12.207778
Hyundai,Accent/Brio,2002-01-01,manual,Compact Cars,12.207778
Mercury,Lynx Wagon,1985-01-01,manual,Small Station Wagons,12.207778
Dodge,Neon,2002-01-01,manual,Compact Cars,12.207778
Plymouth,Breeze,1997-01-01,manual,Midsize Cars,12.207778
Saturn,SW,2001-01-01,manual,Small Station Wagons,12.207778
Chevrolet,Prizm,2002-01-01,automatic,Compact Cars,12.207778
Ford,Escort Wagon,1985-01-01,manual,Small Station Wagons,12.207778
Toyota,Matrix,2008-01-01,automatic,Small Station Wagons,12.207778
Pontiac,Vibe,2008-01-01,automatic,Small Station Wagons,12.207778
Ford,Escort Wagon,1989-01-01,manual,Small Station Wagons,12.207778
Suzuki,Esteem,1999-01-01,manual,Subcompact Cars,12.207778
Hyundai,Elantra,2008-01-01,manual,Midsize Cars,12.207778
Nissan,Sentra,2006-01-01,manual,Compact Cars,12.207778
Chevrolet,Aveo 5,2008-01-01,manual,Subcompact Cars,12.207778
Nissan,Sentra,2006-01-01,automatic,Compact Cars,12.207778
Nissan,Sentra,2008-01-01,manual,Midsize Cars,12.207778
Saturn,Aura Hybrid,2008-01-01,automatic,Midsize Cars,12.207778
Ford,Escort Wagon,1985-01-01,manual,Small Station Wagons,12.207778
